experiment_id,n_epochs,batch_size_train,batch_size_test,training_time_sec,final_loss,min_loss,max_loss,last_5_losses,best_generated_text
1,50,32,1,10.23,0.01251,0.0124,0.01751,"0.01751, 0.01398, 0.01316, 0.01266, 0.0124","а, мочаднег не юмкоро уддань.
ынор;
пордмилю, зы о ста ноэтде в до пенам""
е на той вседы,
не, кат все"
2,50,64,1,15.88,0.01187,0.01222,0.01749,"0.01749, 0.01402, 0.0132, 0.01256, 0.01222","а роданом и слабе,
ваянсят
до порожемнуена вел ляги, слежноо нех вал
пизрагw подя. . . . n дом ранате"
3,50,128,1,30.21,0.012,0.01223,0.01728,"0.01728, 0.01404, 0.01312, 0.01264, 0.01223","а всковатще мыс
ейной камнидей нижель;
ороглас тробртупеннацин кишева неросло никца прегл замный мго "
4,100,32,1,19.64,0.01162,0.01155,0.01748,"0.01223, 0.012, 0.01179, 0.01169, 0.01155","ань, ж""ранась верто
нах чит, на состолсо так пучет оввый
устак потебь пождыло снален наденый споесть "
5,100,64,1,31.19,0.01119,0.01139,0.01739,"0.0121, 0.0119, 0.01175, 0.01161, 0.01139","асчука?
и умой размесь нечтень тажи ты шалчави дель офруг вдол тойщи с навала настеняти, вне вдросет "
6,100,128,1,63.52,0.01119,0.01125,0.01739,"0.01198, 0.01172, 0.01153, 0.01141, 0.01125","а, что сладный,
с нятом,
и вностьям жегдяня трицое
гапий нуко ни
не мы прайсть отело лесенье нев, про"
7,200,32,1,37.96,0.01086,0.01073,0.01753,"0.01091, 0.01085, 0.01073, 0.01078, 0.01074","ах,
что-бавлета
фахне сердца рушит одную змущу. -
кого бавленский, другом тоням вабина дитдяму семь ч"
8,200,64,1,62.75,0.01041,0.01049,0.0174,"0.01074, 0.01075, 0.01068, 0.01057, 0.01049","аз, и слетнос девны;
равне блений вазал, подосавь былуная вамнут:
в таня! дамина чтос, бога скатутья,"
9,200,128,1,123.52,0.01051,0.0104,0.01734,"0.01068, 0.0106, 0.01054, 0.01044, 0.0104","а ий завовь
бывного, с не,
одам модый, катьясь;
и скевит рассенда.
туханью себев!

xliv

замнег, чест"
10,300,32,1,55.53,0.0105,0.01036,0.01755,"0.01042, 0.01038, 0.01041, 0.01038, 0.01036","ами заржил и твоемя мерсе берева,
уз горадонной них раззакай.
на вы нне
он онего, крокой и ракрак.

l"
11,300,64,1,95.0,0.01016,0.01011,0.01747,"0.01034, 0.01019, 0.01019, 0.01011, 0.01018","адлясь нам нем палоходом с ним соде расеторных.
она был бы быть осполый,
линые тебе
золадать ожи соби"
12,300,128,1,179.53,0.01003,0.00994,0.01743,"0.01006, 0.01003, 0.01, 0.00999, 0.00994","а провосшьны,
поять? долены в филученья ты о вздора жворилось думать ленский былбый вогдал свет
и бог"
